sample,cell_line,library_type,assay_category,conversion_method,analyte,cna_seg,seg,seg_txt,correctedDepth_txt,params_txt,RData,wig,status
CoB_08L_3A2_DNA-EM,CoB,mTNA-DNA,mTNA,enzymatic,DNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoB_08L_3A2_DNA-EM/CoB_08L_3A2_DNA-EM.cna.seg,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoB_08L_3A2_DNA-EM/CoB_08L_3A2_DNA-EM.seg,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoB_08L_3A2_DNA-EM/CoB_08L_3A2_DNA-EM.seg.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoB_08L_3A2_DNA-EM/CoB_08L_3A2_DNA-EM.correctedDepth.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoB_08L_3A2_DNA-EM/CoB_08L_3A2_DNA-EM.params.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoB_08L_3A2_DNA-EM/CoB_08L_3A2_DNA-EM.RData,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoB_08L_3A2_DNA-EM/CoB_08L_3A2_DNA-EM.wig,complete
CoB_08R_3A2_TNA-mRT-EM,CoB,mTNA,mTNA,enzymatic,TNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoB_08R_3A2_TNA-mRT-EM/CoB_08R_3A2_TNA-mRT-EM.cna.seg,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoB_08R_3A2_TNA-mRT-EM/CoB_08R_3A2_TNA-mRT-EM.seg,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoB_08R_3A2_TNA-mRT-EM/CoB_08R_3A2_TNA-mRT-EM.seg.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoB_08R_3A2_TNA-mRT-EM/CoB_08R_3A2_TNA-mRT-EM.correctedDepth.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoB_08R_3A2_TNA-mRT-EM/CoB_08R_3A2_TNA-mRT-EM.params.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoB_08R_3A2_TNA-mRT-EM/CoB_08R_3A2_TNA-mRT-EM.RData,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoB_08R_3A2_TNA-mRT-EM/CoB_08R_3A2_TNA-mRT-EM.wig,complete
CoB_08X_3A2_TNA-RT-EM,CoB,mTNA,mTNA,enzymatic,TNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoB_08X_3A2_TNA-RT-EM/CoB_08X_3A2_TNA-RT-EM.cna.seg,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoB_08X_3A2_TNA-RT-EM/CoB_08X_3A2_TNA-RT-EM.seg,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoB_08X_3A2_TNA-RT-EM/CoB_08X_3A2_TNA-RT-EM.seg.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoB_08X_3A2_TNA-RT-EM/CoB_08X_3A2_TNA-RT-EM.correctedDepth.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoB_08X_3A2_TNA-RT-EM/CoB_08X_3A2_TNA-RT-EM.params.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoB_08X_3A2_TNA-RT-EM/CoB_08X_3A2_TNA-RT-EM.RData,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoB_08X_3A2_TNA-RT-EM/CoB_08X_3A2_TNA-RT-EM.wig,complete
CoM_08M_3A2_DNA-EM,CoM,mTNA-DNA,mTNA,enzymatic,DNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoM_08M_3A2_DNA-EM/CoM_08M_3A2_DNA-EM.cna.seg,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoM_08M_3A2_DNA-EM/CoM_08M_3A2_DNA-EM.seg,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoM_08M_3A2_DNA-EM/CoM_08M_3A2_DNA-EM.seg.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoM_08M_3A2_DNA-EM/CoM_08M_3A2_DNA-EM.correctedDepth.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoM_08M_3A2_DNA-EM/CoM_08M_3A2_DNA-EM.params.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoM_08M_3A2_DNA-EM/CoM_08M_3A2_DNA-EM.RData,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoM_08M_3A2_DNA-EM/CoM_08M_3A2_DNA-EM.wig,complete
CoM_08S_3A2_TNA-mRT-EM,CoM,mTNA,mTNA,enzymatic,TNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoM_08S_3A2_TNA-mRT-EM/CoM_08S_3A2_TNA-mRT-EM.cna.seg,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoM_08S_3A2_TNA-mRT-EM/CoM_08S_3A2_TNA-mRT-EM.seg,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoM_08S_3A2_TNA-mRT-EM/CoM_08S_3A2_TNA-mRT-EM.seg.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoM_08S_3A2_TNA-mRT-EM/CoM_08S_3A2_TNA-mRT-EM.correctedDepth.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoM_08S_3A2_TNA-mRT-EM/CoM_08S_3A2_TNA-mRT-EM.params.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoM_08S_3A2_TNA-mRT-EM/CoM_08S_3A2_TNA-mRT-EM.RData,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoM_08S_3A2_TNA-mRT-EM/CoM_08S_3A2_TNA-mRT-EM.wig,complete
CoM_08Y_3A2_TNA-RT-EM,CoM,mTNA,mTNA,enzymatic,TNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoM_08Y_3A2_TNA-RT-EM/CoM_08Y_3A2_TNA-RT-EM.cna.seg,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoM_08Y_3A2_TNA-RT-EM/CoM_08Y_3A2_TNA-RT-EM.seg,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoM_08Y_3A2_TNA-RT-EM/CoM_08Y_3A2_TNA-RT-EM.seg.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoM_08Y_3A2_TNA-RT-EM/CoM_08Y_3A2_TNA-RT-EM.correctedDepth.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoM_08Y_3A2_TNA-RT-EM/CoM_08Y_3A2_TNA-RT-EM.params.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoM_08Y_3A2_TNA-RT-EM/CoM_08Y_3A2_TNA-RT-EM.RData,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoM_08Y_3A2_TNA-RT-EM/CoM_08Y_3A2_TNA-RT-EM.wig,complete
HT29_21S_3A2_bsTNA-HP,HT29,HairyTNA,HairyTNA,bisulfite,TNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/HT29_21S_3A2_bsTNA-HP/HT29_21S_3A2_bsTNA-HP.cna.seg,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/HT29_21S_3A2_bsTNA-HP/HT29_21S_3A2_bsTNA-HP.seg,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/HT29_21S_3A2_bsTNA-HP/HT29_21S_3A2_bsTNA-HP.seg.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/HT29_21S_3A2_bsTNA-HP/HT29_21S_3A2_bsTNA-HP.correctedDepth.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/HT29_21S_3A2_bsTNA-HP/HT29_21S_3A2_bsTNA-HP.params.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/HT29_21S_3A2_bsTNA-HP/HT29_21S_3A2_bsTNA-HP.RData,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/HT29_21S_3A2_bsTNA-HP/HT29_21S_3A2_bsTNA-HP.wig,complete
HT29_21T_3A2_bsTNA-HP,HT29,HairyTNA,HairyTNA,bisulfite,TNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/HT29_21T_3A2_bsTNA-HP/HT29_21T_3A2_bsTNA-HP.cna.seg,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/HT29_21T_3A2_bsTNA-HP/HT29_21T_3A2_bsTNA-HP.seg,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/HT29_21T_3A2_bsTNA-HP/HT29_21T_3A2_bsTNA-HP.seg.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/HT29_21T_3A2_bsTNA-HP/HT29_21T_3A2_bsTNA-HP.correctedDepth.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/HT29_21T_3A2_bsTNA-HP/HT29_21T_3A2_bsTNA-HP.params.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/HT29_21T_3A2_bsTNA-HP/HT29_21T_3A2_bsTNA-HP.RData,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/HT29_21T_3A2_bsTNA-HP/HT29_21T_3A2_bsTNA-HP.wig,complete
HT29_21W_3A2_bsDNA-HP,HT29,HairyTNA-DNA,HairyTNA,bisulfite,DNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/HT29_21W_3A2_bsDNA-HP/HT29_21W_3A2_bsDNA-HP.cna.seg,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/HT29_21W_3A2_bsDNA-HP/HT29_21W_3A2_bsDNA-HP.seg,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/HT29_21W_3A2_bsDNA-HP/HT29_21W_3A2_bsDNA-HP.seg.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/HT29_21W_3A2_bsDNA-HP/HT29_21W_3A2_bsDNA-HP.correctedDepth.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/HT29_21W_3A2_bsDNA-HP/HT29_21W_3A2_bsDNA-HP.params.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/HT29_21W_3A2_bsDNA-HP/HT29_21W_3A2_bsDNA-HP.RData,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/HT29_21W_3A2_bsDNA-HP/HT29_21W_3A2_bsDNA-HP.wig,complete
HT29_21X_3A2_bsDNA-HP,HT29,HairyTNA-DNA,HairyTNA,bisulfite,DNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/HT29_21X_3A2_bsDNA-HP/HT29_21X_3A2_bsDNA-HP.cna.seg,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/HT29_21X_3A2_bsDNA-HP/HT29_21X_3A2_bsDNA-HP.seg,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/HT29_21X_3A2_bsDNA-HP/HT29_21X_3A2_bsDNA-HP.seg.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/HT29_21X_3A2_bsDNA-HP/HT29_21X_3A2_bsDNA-HP.correctedDepth.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/HT29_21X_3A2_bsDNA-HP/HT29_21X_3A2_bsDNA-HP.params.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/HT29_21X_3A2_bsDNA-HP/HT29_21X_3A2_bsDNA-HP.RData,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/HT29_21X_3A2_bsDNA-HP/HT29_21X_3A2_bsDNA-HP.wig,complete
CoB_02M_1C3_1DNA,CoB,WGS,single_analyte,none,DNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoB_02M_1C3_1DNA/CoB_02M_1C3_1DNA.cna.seg,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoB_02M_1C3_1DNA/CoB_02M_1C3_1DNA.seg,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoB_02M_1C3_1DNA/CoB_02M_1C3_1DNA.seg.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoB_02M_1C3_1DNA/CoB_02M_1C3_1DNA.correctedDepth.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoB_02M_1C3_1DNA/CoB_02M_1C3_1DNA.params.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoB_02M_1C3_1DNA/CoB_02M_1C3_1DNA.RData,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoB_02M_1C3_1DNA/CoB_02M_1C3_1DNA.wig,complete
CoM_02K_1C3_1DNA,CoM,WGS,single_analyte,none,DNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoM_02K_1C3_1DNA/CoM_02K_1C3_1DNA.cna.seg,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoM_02K_1C3_1DNA/CoM_02K_1C3_1DNA.seg,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoM_02K_1C3_1DNA/CoM_02K_1C3_1DNA.seg.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoM_02K_1C3_1DNA/CoM_02K_1C3_1DNA.correctedDepth.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoM_02K_1C3_1DNA/CoM_02K_1C3_1DNA.params.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoM_02K_1C3_1DNA/CoM_02K_1C3_1DNA.RData,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoM_02K_1C3_1DNA/CoM_02K_1C3_1DNA.wig,complete
HT29_02N_1B3_1DNA,HT29,WGS,single_analyte,none,DNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/HT29_02N_1B3_1DNA/HT29_02N_1B3_1DNA.cna.seg,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/HT29_02N_1B3_1DNA/HT29_02N_1B3_1DNA.seg,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/HT29_02N_1B3_1DNA/HT29_02N_1B3_1DNA.seg.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/HT29_02N_1B3_1DNA/HT29_02N_1B3_1DNA.correctedDepth.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/HT29_02N_1B3_1DNA/HT29_02N_1B3_1DNA.params.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/HT29_02N_1B3_1DNA/HT29_02N_1B3_1DNA.RData,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/HT29_02N_1B3_1DNA/HT29_02N_1B3_1DNA.wig,complete
CoB_01W_1A3_1DNA,CoB,WGEM,single_analyte,enzymatic,DNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoB_01W_1A3_1DNA/CoB_01W_1A3_1DNA.cna.seg,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoB_01W_1A3_1DNA/CoB_01W_1A3_1DNA.seg,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoB_01W_1A3_1DNA/CoB_01W_1A3_1DNA.seg.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoB_01W_1A3_1DNA/CoB_01W_1A3_1DNA.correctedDepth.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoB_01W_1A3_1DNA/CoB_01W_1A3_1DNA.params.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoB_01W_1A3_1DNA/CoB_01W_1A3_1DNA.RData,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoB_01W_1A3_1DNA/CoB_01W_1A3_1DNA.wig,complete
CoM_01T_1A3_1DNA,CoM,WGEM,single_analyte,enzymatic,DNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoM_01T_1A3_1DNA/CoM_01T_1A3_1DNA.cna.seg,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoM_01T_1A3_1DNA/CoM_01T_1A3_1DNA.seg,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoM_01T_1A3_1DNA/CoM_01T_1A3_1DNA.seg.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoM_01T_1A3_1DNA/CoM_01T_1A3_1DNA.correctedDepth.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoM_01T_1A3_1DNA/CoM_01T_1A3_1DNA.params.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoM_01T_1A3_1DNA/CoM_01T_1A3_1DNA.RData,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/CoM_01T_1A3_1DNA/CoM_01T_1A3_1DNA.wig,complete
HT29_01Z_1A3_1DNA,HT29,WGEM,single_analyte,enzymatic,DNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/HT29_01Z_1A3_1DNA/HT29_01Z_1A3_1DNA.cna.seg,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/HT29_01Z_1A3_1DNA/HT29_01Z_1A3_1DNA.seg,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/HT29_01Z_1A3_1DNA/HT29_01Z_1A3_1DNA.seg.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/HT29_01Z_1A3_1DNA/HT29_01Z_1A3_1DNA.correctedDepth.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/HT29_01Z_1A3_1DNA/HT29_01Z_1A3_1DNA.params.txt,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/HT29_01Z_1A3_1DNA/HT29_01Z_1A3_1DNA.RData,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p3_cnv/HT29_01Z_1A3_1DNA/HT29_01Z_1A3_1DNA.wig,complete
