sample,cell_line,library_type,assay_category,conversion_method,analyte,featureCounts_tsv,featureCounts_summary,aligned_bam,status
CoB_02W_1A3_1RNA,CoB,RNA-Seq,single_analyte,none,RNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p4_rna_counts/CoB_02W_1A3_1RNA/CoB_02W_1A3_1RNA.featureCounts.tsv,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p4_rna_counts/CoB_02W_1A3_1RNA/CoB_02W_1A3_1RNA.featureCounts.tsv.summary,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p4_rna_counts/CoB_02W_1A3_1RNA/CoB_02W_1A3_1RNA.Aligned.sortedByCoord.out.bam,complete
CoB_08R_3A2_TNA-mRT-EM,CoB,mTNA,mTNA,enzymatic,TNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p4_rna_counts/CoB_08R_3A2_TNA-mRT-EM/CoB_08R_3A2_TNA-mRT-EM.featureCounts.tsv,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p4_rna_counts/CoB_08R_3A2_TNA-mRT-EM/CoB_08R_3A2_TNA-mRT-EM.featureCounts.tsv.summary,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p4_rna_counts/CoB_08R_3A2_TNA-mRT-EM/CoB_08R_3A2_TNA-mRT-EM.Aligned.sortedByCoord.out.bam,complete
CoB_08X_3A2_TNA-RT-EM,CoB,mTNA,mTNA,enzymatic,TNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p4_rna_counts/CoB_08X_3A2_TNA-RT-EM/CoB_08X_3A2_TNA-RT-EM.featureCounts.tsv,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p4_rna_counts/CoB_08X_3A2_TNA-RT-EM/CoB_08X_3A2_TNA-RT-EM.featureCounts.tsv.summary,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p4_rna_counts/CoB_08X_3A2_TNA-RT-EM/CoB_08X_3A2_TNA-RT-EM.Aligned.sortedByCoord.out.bam,complete
CoB_09D_3A2_RNA-mRT-EM,CoB,mTNA-RNA,mTNA,enzymatic,RNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p4_rna_counts/CoB_09D_3A2_RNA-mRT-EM/CoB_09D_3A2_RNA-mRT-EM.featureCounts.tsv,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p4_rna_counts/CoB_09D_3A2_RNA-mRT-EM/CoB_09D_3A2_RNA-mRT-EM.featureCounts.tsv.summary,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p4_rna_counts/CoB_09D_3A2_RNA-mRT-EM/CoB_09D_3A2_RNA-mRT-EM.Aligned.sortedByCoord.out.bam,complete
CoB_09J_3A2_RNA-RT-EM,CoB,mTNA-RNA,mTNA,enzymatic,RNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p4_rna_counts/CoB_09J_3A2_RNA-RT-EM/CoB_09J_3A2_RNA-RT-EM.featureCounts.tsv,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p4_rna_counts/CoB_09J_3A2_RNA-RT-EM/CoB_09J_3A2_RNA-RT-EM.featureCounts.tsv.summary,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p4_rna_counts/CoB_09J_3A2_RNA-RT-EM/CoB_09J_3A2_RNA-RT-EM.Aligned.sortedByCoord.out.bam,complete
CoM_02V_1A3_1RNA,CoM,RNA-Seq,single_analyte,none,RNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p4_rna_counts/CoM_02V_1A3_1RNA/CoM_02V_1A3_1RNA.featureCounts.tsv,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p4_rna_counts/CoM_02V_1A3_1RNA/CoM_02V_1A3_1RNA.featureCounts.tsv.summary,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p4_rna_counts/CoM_02V_1A3_1RNA/CoM_02V_1A3_1RNA.Aligned.sortedByCoord.out.bam,complete
CoM_08S_3A2_TNA-mRT-EM,CoM,mTNA,mTNA,enzymatic,TNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p4_rna_counts/CoM_08S_3A2_TNA-mRT-EM/CoM_08S_3A2_TNA-mRT-EM.featureCounts.tsv,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p4_rna_counts/CoM_08S_3A2_TNA-mRT-EM/CoM_08S_3A2_TNA-mRT-EM.featureCounts.tsv.summary,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p4_rna_counts/CoM_08S_3A2_TNA-mRT-EM/CoM_08S_3A2_TNA-mRT-EM.Aligned.sortedByCoord.out.bam,complete
CoM_08Y_3A2_TNA-RT-EM,CoM,mTNA,mTNA,enzymatic,TNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p4_rna_counts/CoM_08Y_3A2_TNA-RT-EM/CoM_08Y_3A2_TNA-RT-EM.featureCounts.tsv,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p4_rna_counts/CoM_08Y_3A2_TNA-RT-EM/CoM_08Y_3A2_TNA-RT-EM.featureCounts.tsv.summary,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p4_rna_counts/CoM_08Y_3A2_TNA-RT-EM/CoM_08Y_3A2_TNA-RT-EM.Aligned.sortedByCoord.out.bam,complete
CoM_09E_3A2_RNA-mRT-EM,CoM,mTNA-RNA,mTNA,enzymatic,RNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p4_rna_counts/CoM_09E_3A2_RNA-mRT-EM/CoM_09E_3A2_RNA-mRT-EM.featureCounts.tsv,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p4_rna_counts/CoM_09E_3A2_RNA-mRT-EM/CoM_09E_3A2_RNA-mRT-EM.featureCounts.tsv.summary,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p4_rna_counts/CoM_09E_3A2_RNA-mRT-EM/CoM_09E_3A2_RNA-mRT-EM.Aligned.sortedByCoord.out.bam,complete
CoM_09K_3A2_RNA-RT-EM,CoM,mTNA-RNA,mTNA,enzymatic,RNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p4_rna_counts/CoM_09K_3A2_RNA-RT-EM/CoM_09K_3A2_RNA-RT-EM.featureCounts.tsv,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p4_rna_counts/CoM_09K_3A2_RNA-RT-EM/CoM_09K_3A2_RNA-RT-EM.featureCounts.tsv.summary,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p4_rna_counts/CoM_09K_3A2_RNA-RT-EM/CoM_09K_3A2_RNA-RT-EM.Aligned.sortedByCoord.out.bam,complete
HT29_02T_1A3_1RNA,HT29,RNA-Seq,single_analyte,none,RNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p4_rna_counts/HT29_02T_1A3_1RNA/HT29_02T_1A3_1RNA.featureCounts.tsv,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p4_rna_counts/HT29_02T_1A3_1RNA/HT29_02T_1A3_1RNA.featureCounts.tsv.summary,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p4_rna_counts/HT29_02T_1A3_1RNA/HT29_02T_1A3_1RNA.Aligned.sortedByCoord.out.bam,complete
HT29_21S_3A2_bsTNA-HP,HT29,HairyTNA,HairyTNA,bisulfite,TNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p4_rna_counts/HT29_21S_3A2_bsTNA-HP/HT29_21S_3A2_bsTNA-HP.featureCounts.tsv,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p4_rna_counts/HT29_21S_3A2_bsTNA-HP/HT29_21S_3A2_bsTNA-HP.featureCounts.tsv.summary,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p4_rna_counts/HT29_21S_3A2_bsTNA-HP/HT29_21S_3A2_bsTNA-HP.Aligned.sortedByCoord.out.bam,complete
HT29_21T_3A2_bsTNA-HP,HT29,HairyTNA,HairyTNA,bisulfite,TNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p4_rna_counts/HT29_21T_3A2_bsTNA-HP/HT29_21T_3A2_bsTNA-HP.featureCounts.tsv,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p4_rna_counts/HT29_21T_3A2_bsTNA-HP/HT29_21T_3A2_bsTNA-HP.featureCounts.tsv.summary,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p4_rna_counts/HT29_21T_3A2_bsTNA-HP/HT29_21T_3A2_bsTNA-HP.Aligned.sortedByCoord.out.bam,complete
HT29_21U_3A2_bsRNA-HP,HT29,HairyTNA-RNA,HairyTNA,bisulfite,RNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p4_rna_counts/HT29_21U_3A2_bsRNA-HP/HT29_21U_3A2_bsRNA-HP.featureCounts.tsv,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p4_rna_counts/HT29_21U_3A2_bsRNA-HP/HT29_21U_3A2_bsRNA-HP.featureCounts.tsv.summary,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p4_rna_counts/HT29_21U_3A2_bsRNA-HP/HT29_21U_3A2_bsRNA-HP.Aligned.sortedByCoord.out.bam,complete
HT29_21V_3A2_bsRNA-HP,HT29,HairyTNA-RNA,HairyTNA,bisulfite,RNA,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p4_rna_counts/HT29_21V_3A2_bsRNA-HP/HT29_21V_3A2_bsRNA-HP.featureCounts.tsv,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p4_rna_counts/HT29_21V_3A2_bsRNA-HP/HT29_21V_3A2_bsRNA-HP.featureCounts.tsv.summary,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p4_rna_counts/HT29_21V_3A2_bsRNA-HP/HT29_21V_3A2_bsRNA-HP.Aligned.sortedByCoord.out.bam,complete
